Time,Des_Pos_X,Des_Pos_Y,Des_Pos_Z,X,Y,Z,Alpha,Beta
0.98,0.116609077738815,-0.116609075280808,-2.83342443094013,0.0893717712571528,-0.0893717761168594,-1.83416657699557,-0.0272507807042542,-0.0272406753671424
1,0.120685489898729,-0.120685494697391,-2.83802917604853,0.0939105685366215,-0.0939105735770705,-1.83874632961062,-0.0267877273245172,-0.0267781215354528
1.02,0.124849861464865,-0.124849869216796,-2.84251196553017,0.0985532533701064,-0.0985532585275577,-1.84320371645536,-0.02630874244045,-0.0262996397731626
1.04,0.129101446689945,-0.129101450879401,-2.84687553341578,0.103298038824915,-0.103298044033965,-1.84754157104999,-0.0258148684039622,-0.0258062721096454
1.06,0.133439739283797,-0.133439738690764,-2.85112256737507,0.108143086919804,-0.108143092186676,-1.85176269272789,-0.0253074456569348,-0.0252993511161241
1.08,0.137864311081615,-0.137864314019567,-2.85525572162592,0.113086507288546,-0.113086512690518,-1.85586984970233,-0.0247879492526119,-0.0247803398394344
1.1,0.142373918756375,-0.142373927214801,-2.85927769445925,0.118126342698474,-0.118126348246783,-1.85986581241586,-0.0242570890011196,-0.0242499527267231
1.12,0.146967247161052,-0.146967256014291,-2.86319116052991,0.123260584017114,-0.123260589645708,-1.86375332449794,-0.0237155538047893,-0.0237088842530451
1.14,0.151643167042201,-0.151643170863912,-2.86699873735931,0.128487187010324,-0.128487192669069,-1.86753508056002,-0.0231642603391247,-0.0231580499018311
1.16,0.156400719118519,-0.156400718763613,-2.87070298619724,0.133804072674211,-0.133804078383387,-1.87121372491776,-0.0226043365291514,-0.0225985698926614
1.18,0.161238953488677,-0.161238958661134,-2.87430642496904,0.139209126417004,-0.139209132271631,-1.87479185605649,-0.0220369576018302,-0.0220316093555434
1.2,0.16615623558234,-0.16615624812465,-2.87781158185172,0.144700184158608,-0.144700190168631,-1.87827205015011,-0.0214626461797714,-0.0214576980238373
1.22,0.17115086884045,-0.171150882027422,-2.88122094331247,0.15027504746623,-0.150275053545195,-1.88165683838116,-0.0208818963829758,-0.020877337951862
1.24,0.176221354541008,-0.176221360567705,-2.88453693403127,0.155931499145229,-0.155931505215897,-1.88494869703675,-0.0202954263546281,-0.0202912478023778
1.26,0.181366389998757,-0.181366387449779,-2.88776191706605,0.161667303412779,-0.161667309477542,-1.88815004623082,-0.0197041762527553,-0.0197003608601079
1.28,0.186584832580694,-0.18658483282452,-2.89089819672095,0.16748020579178,-0.167480211966642,-1.89126325000433,-0.0191092712619774,-0.0191057891358198
1.3,0.191874971758252,-0.191874983447779,-2.89394806629101,0.173367922378308,-0.173367928751272,-1.89429063594314,-0.0185112821292307,-0.018508106020431
1.32,0.197234677135256,-0.197234694820755,-2.89691379041566,0.179328139807877,-0.179328146299606,-1.89723448611803,-0.0179103775640723,-0.0179074944030105
1.34,0.202662065858344,-0.202662078599203,-2.89979757182455,0.185358538691611,-0.18535854517828,-1.90009702882242,-0.0173069884321033,-0.0173043907638591
1.36,0.20815551462545,-0.208155514975527,-2.90260155234326,0.191456795589347,-0.191456802008104,-1.90288043834807,-0.0167018181358272,-0.0166994951987238
1.38,0.213713659685805,-0.213713652678776,-2.90532781289333,0.197620582997901,-0.197620589416183,-1.90558683334035,-0.0160958426146502,-0.0160937714187979
1.4,0.219335104534082,-0.21933510744706,-2.90797838890745,0.203847565982277,-0.203847572573907,-1.90821828147509,-0.0154900120966236,-0.0154881577687502
1.42,0.225017504921987,-0.22501751932216,-2.91055530966311,0.210135386890318,-0.210135393661836,-1.91077681174534,-0.0148843235420607,-0.014882667428653
1.44,0.230758625766413,-0.23075864212575,-2.91306054886894,0.216481685613296,-0.216481692445204,-1.9132644008029,-0.0142788901533253,-0.0142774252114898
1.46,0.236556540115336,-0.236556547462064,-2.91549602395626,0.222884109553575,-0.222884116330917,-1.9156829767972,-0.0136741353729064,-0.0136728565743804
1.48,0.242409622777867,-0.242409618130878,-2.9178635965416,0.229340313630431,-0.229340320337923,-1.91803441782475,-0.0130707862762573,-0.0130696812306055
1.5,0.248316515944267,-0.248316512660921,-2.92016507384323,0.23584795993858,-0.23584796671765,-1.92032055069316,-0.0124698384344787,-0.0124688790987364
1.52,0.254275182855369,-0.254275190502619,-2.92240224262528,0.24240470524748,-0.242404712193936,-1.92254316080121,-0.011871593572521,-0.0118707564002488
1.54,0.260283167980491,-0.260283181754361,-2.92457685506219,0.249008203084256,-0.249008210132862,-1.92470398805283,-0.0112759273019448,-0.0112752037979078
1.56,0.266338350417739,-0.266338360986386,-2.92669061111207,0.255656122105323,-0.255656129149795,-1.92680472766273,-0.0106830445670995,-0.0106824314810307
1.58,0.272438892833642,-0.272438894106631,-2.92874516235808,0.26234614692352,-0.262346153905797,-1.92884703100907,-0.0100934256619841,-0.0100929172650804
1.6,0.278583241463153,-0.278583238360732,-2.93074211200837,0.269075978101156,-0.269075985079324,-1.93083250405453,-0.00950782623024708,-0.00950740659166546
1.62,0.284769708787503,-0.284769713092368,-2.93268302696733,0.275843327260341,-0.275843334354577,-1.93276271040432,-0.00892685294833916,-0.00892650007418562
1.64,0.290995844173827,-0.290995855048408,-2.93456945053655,0.282645906768517,-0.282645913962382,-1.93463917445267,-0.00835032922788555,-0.0083500344366515
1.66,0.297259439259301,-0.297259450553116,-2.93640287991634,0.289481447522137,-0.289481454741859,-1.93646337893356,-0.00777830952901539,-0.00777807016369492
