Time,Des_Pos_X,Des_Pos_Y,Des_Pos_Z,X,Y,Z,Hx,Hy,Hz,Alpha,Beta
23.96,0.0235609759677301,-0.0235580693085953,-0.49214634134409,0.0231978741005335,-0.0221056223488867,-1.4921451867627,0.0235609901487255,-0.0235581682998502,-0.492146307634827,0.00145254655751078,0.000363116056171714
23.98,0.0117808513330682,-0.0117804879838667,-0.496073049555644,0.0115990512588749,-0.0110533259047226,-1.49607281202914,0.0117807736759317,-0.0117803339416617,-0.496073092811046,0.000727008112985332,0.000181722418056917
24,5.51091059616309e-16,-5.51091059616309e-16,-0.5,-4.63347952450732e-07,1.60863264411781e-06,-1.50000012088989,-1.66942983186561e-07,4.03169038956303e-07,-0.500000120890662,1.20546360516186e-06,2.96404969264176e-07
24.02,-0.011780851333067,0.0117804879838656,-0.503926950444356,-0.011599896118627,0.0110562572648858,-1.50392685872425,-0.0117810879963671,0.0117810848261953,-0.50392713782703,-0.000724827636675366,-0.000181191878731502
24.04,-0.023560975967729,0.0235580693085942,-0.50785365865591,-0.0231984613288806,0.0221076529943799,-1.50785276881438,-0.0235612422333826,0.0235587399273618,-0.507853887446638,-0.00145108753771896,-0.000362780912459605
24.06,-0.0353396472504138,0.0353298380322306,-0.511779882416805,-0.0347953753529902,0.0331528495152022,-1.51177759185032,-0.0353398843936563,0.0353304093245095,-0.511780110981907,-0.0021775618530377,-0.000544509067573019
24.08,-0.0471161386171916,0.0470928896469842,-0.515705379539064,-0.0463899783239241,0.0441893771060913,-1.51570108133279,-0.0471163110658292,0.0470932916485244,-0.515705561482289,-0.0029039193897618,-0.000726332805769027
24.1,-0.0588897236386027,0.0588443217958835,-0.519629907879534,-0.0579816301189216,0.0552147350302358,-1.51962301737933,-0.0588898164409166,0.0588445311002839,-0.51963001751478,-0.00362980553771936,-0.000908186446840706
24.12,-0.0706596760644644,0.0705812349888861,-0.523553225354821,-0.0695696726773169,0.0662263565905174,-1.52354317934364,-0.0706596885914869,0.0705812528201355,-0.523553256022345,-0.00435491258205318,-0.00109001613001767
24.14,-0.0824252698686696,0.0823007333182849,-0.527475089956223,-0.0811534366929413,0.0772216490900633,-1.52746134341589,-0.0824252128977701,0.0823005821156924,-0.527475049997522,-0.00507895896896517,-0.00127177654766061
24.16,-0.094185779293969,0.0939999251732271,-0.531395259764656,-0.0927322416141151,0.0881979938322381,-1.53137728262264,-0.0941856720476568,0.0939996444630324,-0.531395168587625,-0.00580168930571589,-0.00145343094526117
24.18,-0.10594047889675,0.105675923953187,-0.535313492965583,-0.10430539564365,0.0991527461206456,-1.53529076682689,-0.105940346036703,0.105675565507642,-0.535313377200272,-0.00652287436062467,-0.00163495112144198
24.2,-0.117688643591768,0.117325848780173,-0.539229547863923,-0.115872195738848,0.110083235259129,-1.53920156272806,-0.117688512168131,0.117325471065088,-0.539229437608986,-0.00724231106306957,-0.00181631742795666
24.22,-0.129429548696883,0.128946825209555,-0.543143182898961,-0.127431927611505,0.120986764551772,-1.54310943386202,-0.129429445052818,0.12894648712143,-0.54314310805865,-0.00795982250348745,-0.00199751876968981
24.24,-0.141162469977773,0.140535985939295,-0.547054156659258,-0.138983865727905,0.131860611302897,-1.54701414060104,-0.141162416609295,0.140535739833366,-0.547054143370627,-0.00867525793337402,-0.00217855260465704
24.26,-0.152886683692574,0.152090471517384,-0.550962227897525,-0.150527273308821,0.142702026817061,-1.55091544015382,-0.152886696063718,0.152090355528114,-0.550962295047372,-0.00938849276528327,-0.00235942494400483
24.28,-0.164601466636568,0.163607431047407,-0.554867155545523,-0.162061402329526,0.153508236399072,-1.55481308656551,-0.164601549949876,0.163607460703065,-0.554867311376411,-0.0100994285728288,-0.00254015035201085
24.3,-0.176306096186757,0.175084022891929,-0.558768698728919,-0.173585493519774,0.164276439353965,-1.55870683071766,-0.176306242109135,0.17508418202514,-0.558768937533555,-0.0108079930906821,-0.00272075194608355
